"UID","BID","Score"
0,3729,3.0
0,15412,4.5
0,305,3.5
0,244,2.5
0,233,4.0
0,11454,4.5
0,240,2.5
0,217,3.0
0,3269,3.5
0,516,5.0
0,202,3.5
0,227,3.0
0,4824,4.5
0,833,4.5
0,7541,3.5
0,210,5.0
1,282,3.5
1,14782,3.0
1,6096,4.0
1,5431,4.5
1,15503,4.5
1,3839,4.5
1,3459,4.5
1,5432,4.5
1,2969,4.5
1,2104,4.5
1,6330,4.5
1,285,4.0
1,9255,4.0
1,15540,4.0
1,2809,4.5
1,2785,4.5
1,12764,4.0
1,485,3.5
1,15442,4.0
1,15514,4.0
1,15416,4.5
1,4241,4.5
1,15509,4.5
1,15539,3.5
1,9728,3.5
1,15512,2.5
1,15545,3.0
1,11035,2.5
1,356,4.5
1,15496,4.0
1,15510,4.5
1,274,4.5
1,15454,5.0
1,276,4.0
1,1175,5.0
1,15534,4.0
2,15600,3.5
2,145,3.5
2,646,3.5
2,654,4.5
2,3929,5.0
2,3928,5.0
2,15571,5.0
2,15580,5.0
2,663,3.5
2,15590,5.0
2,619,4.0
2,7802,3.5
2,15570,5.0
2,15605,3.5
2,8355,3.5
2,3930,4.5
2,662,4.0
2,356,5.0
2,651,4.5
2,656,4.0
2,15603,3.5
2,657,4.5
2,595,3.5
2,15598,3.5
3,770,5.0
3,749,4.5
3,11911,4.5
3,775,5.0
3,776,5.0
3,761,4.0
3,774,4.0
3,752,3.5
3,771,4.5
3,756,4.5
3,759,5.0
3,13759,5.0
3,2003,4.5
3,3109,3.5
3,3075,5.0
3,753,4.5
3,787,4.5
3,766,5.0
3,2208,5.0
3,1141,4.0
3,777,4.5
3,791,4.5
3,758,5.0
3,762,4.5
3,773,5.0
3,757,5.0
3,785,4.0
3,408,5.0
3,205,5.0
3,788,4.5
3,90,5.0
3,833,5.0
3,15633,5.0
3,6038,4.5
3,15632,4.5
3,754,5.0
3,786,5.0
3,780,5.0
3,2308,4.5
3,779,4.5
3,748,5.0
4,803,4.0
4,15651,4.5
4,15644,4.0
4,15645,4.0
4,819,5.0
4,15658,4.0
4,6342,4.5
4,823,4.0
4,811,4.0
4,7858,3.5
4,7291,1.0
4,15659,4.0
5,867,3.5
5,857,2.0
5,851,3.5
5,834,4.0
5,847,3.0
5,846,3.0
5,861,3.5
5,852,3.5
5,860,3.0
5,872,3.5
5,858,4.0
5,835,4.0
6,231,4.0
6,1107,4.0
6,1106,4.0
6,1098,5.0
6,1118,5.0
6,1102,4.5
6,1108,4.0
6,1111,5.0
6,1115,4.0
6,1117,4.0
6,1101,5.0
6,1120,4.5
6,1097,5.0
6,1096,5.0
6,1105,3.5
6,1093,2.0
6,563,4.5
6,1116,3.5
7,15680,5.0
7,977,3.0
7,2769,3.0
7,15702,4.0
7,15707,4.5
7,2528,4.5
7,14954,5.0
7,15724,2.5
7,15713,5.0
7,1777,5.0
7,15678,5.0
7,1213,2.0
7,94,4.5
7,1201,2.5
7,1200,5.0
7,287,5.0
7,1922,5.0
7,6336,5.0
7,15704,5.0
7,15723,2.5
7,15699,4.0
7,1337,2.5
7,1202,3.5
7,748,5.0
7,1215,5.0
7,679,5.0
7,1818,5.0
7,1209,5.0
8,1301,2.5
8,2554,4.0
8,162,4.0
8,1292,4.0
8,1312,5.0
8,15736,3.0
8,1322,3.0
8,1494,3.0
8,1319,2.5
8,1290,3.5
8,1302,2.5
8,15744,4.0
8,1299,4.0
9,12922,4.0
9,28697,4.0
9,647,4.5
9,1381,4.5
9,32659,4.0
9,1383,5.0
9,1105,2.5
9,6144,4.0
9,389,4.0
9,1394,4.5
9,5046,4.5
10,1513,3.5
10,1486,3.5
10,1505,3.0
10,1499,3.5
10,1490,3.5
10,1509,2.5
10,706,3.5
10,1498,4.0
10,1504,3.5
10,1507,3.5
10,1496,3.5
10,1506,3.5
10,1489,3.0
10,1511,4.0
10,1518,3.5
