"UID","BID","Score"
0,201,3.5
0,200,3.0
0,199,5.0
0,197,4.5
0,196,3.5
0,195,4.0
0,194,4.0
0,188,5.0
0,187,4.5
0,192,3.5
0,184,5.0
0,183,5.0
0,182,5.0
0,181,4.5
0,180,5.0
0,179,4.0
0,178,5.0
0,177,4.5
0,176,5.0
0,175,5.0
0,185,4.5
0,186,3.5
1,3729,3.0
1,15412,4.5
1,305,3.5
1,241,2.5
1,244,2.5
1,233,4.0
1,11454,4.5
1,240,2.5
1,217,3.0
1,3269,3.5
1,516,5.0
1,202,3.5
1,15411,3.0
1,227,3.0
1,4824,4.5
1,833,4.5
1,7541,3.5
1,210,5.0
2,15508,2.5
2,282,3.5
2,14782,3.0
2,6096,4.0
2,5431,4.5
2,15503,4.5
2,3839,4.5
2,3459,4.5
2,5432,4.5
2,2969,4.5
2,2104,4.5
2,6330,4.5
2,285,4.0
2,9255,4.0
2,15540,4.0
2,2809,4.5
2,2785,4.5
2,12764,4.0
2,485,3.5
2,15442,4.0
2,15527,3.5
2,15516,4.5
2,15424,4.5
2,15518,4.0
2,300,4.5
2,15538,4.0
2,15514,4.0
2,15416,4.5
2,4241,4.5
2,277,4.5
2,15474,3.5
2,15509,4.5
2,15539,3.5
2,9728,3.5
2,15512,2.5
2,9389,4.5
2,15543,2.5
2,15544,2.5
2,15545,3.0
2,11035,2.5
2,15562,2.5
2,15566,2.0
2,356,4.5
2,15541,3.5
2,15548,3.0
2,15496,4.0
2,15510,4.5
2,269,3.5
2,15530,4.5
2,274,4.5
2,15454,5.0
2,275,4.5
2,276,4.0
2,1175,5.0
2,15497,3.5
2,15534,4.0
2,15563,2.5
3,423,4.0
3,422,2.5
3,421,2.0
3,420,3.5
3,419,4.0
3,417,4.0
3,416,4.5
3,411,3.5
3,413,5.0
3,412,5.0
3,409,4.0
3,406,3.0
3,134,1.5
3,404,4.0
3,414,5.0
3,424,3.5
3,405,3.0
4,11609,4.0
4,647,5.0
4,3234,5.0
4,242936,5.0
4,242937,5.0
4,242938,5.0
4,58365,5.0
4,78388,5.0
4,69492,5.0
4,5834,5.0
4,30063,4.0
4,18121,3.5
4,37973,4.0
4,10092,5.0
4,4177,5.0
5,15600,3.5
5,145,3.5
5,646,3.5
5,654,4.5
5,3929,5.0
5,3928,5.0
5,15571,5.0
5,15580,5.0
5,663,3.5
5,15590,5.0
5,619,4.0
5,15576,2.5
5,15599,4.0
5,15573,3.5
5,15606,3.5
5,15582,3.5
5,15592,4.0
5,7802,3.5
5,15570,5.0
5,15605,3.5
5,8355,3.5
5,3930,4.5
5,662,4.0
5,356,5.0
5,644,4.5
5,651,4.5
5,656,4.0
5,15607,4.0
5,15603,3.5
5,15572,4.5
5,15581,3.5
5,15601,3.5
5,657,4.5
5,15574,3.5
5,15575,3.5
5,595,3.5
5,15598,3.5
6,769,5.0
6,770,5.0
6,749,4.5
6,11911,4.5
6,775,5.0
6,776,5.0
6,781,4.5
6,761,4.0
6,774,4.0
6,752,3.5
6,771,4.5
6,15634,5.0
6,756,4.5
6,759,5.0
6,13759,5.0
6,2003,4.5
6,3109,3.5
6,3075,5.0
6,753,4.5
6,787,4.5
6,766,5.0
6,790,3.5
6,2208,5.0
6,1141,4.0
6,777,4.5
6,768,5.0
6,791,4.5
6,760,4.0
6,758,5.0
