"UID","AID","Score"
0,126,5.0
0,163,5.0
0,164,5.0
0,165,4.5555555555555545
0,166,5.0
0,167,4.5
0,171,3.25
0,173,4.0
0,174,4.0
0,175,4.0
0,177,5.0
0,178,3.5
1,14,2.5
1,18,3.5
1,39,5.0
1,108,3.0
1,113,4.5
1,179,3.5
1,182,5.0
1,187,3.0
1,193,3.0
1,198,4.0
1,202,2.5
1,203,2.5
1,426,4.5
1,601,3.5
1,656,4.5
1,1071,3.0
1,1489,4.5
1,4539,3.5
2,5,4.5
2,75,4.333333333333333
2,88,4.0
2,119,4.0
2,165,4.166666666666667
2,171,4.0
2,219,4.5
2,221,4.0
2,229,3.5
2,231,4.25
2,239,4.5
2,290,4.5
2,395,3.5
2,411,2.5
2,453,3.0
2,486,3.0
2,1245,4.5
2,1529,4.5
2,1871,3.5
2,3370,3.0
2,4382,2.5
2,4511,2.5
2,4849,3.5
2,6279,3.5
2,6280,2.5
2,7619,2.0
2,8418,3.5
2,8428,4.5
2,8430,4.5
2,8431,4.0
2,8435,3.5
2,8437,4.5
2,8438,4.0
2,8440,2.5
2,8441,2.5
2,8443,3.0
3,127,1.5
3,246,3.0
3,330,4.0
3,331,3.0
3,334,4.0
3,336,3.5
3,337,5.0
3,338,5.0
3,340,4.5
3,341,4.0
3,343,4.0
3,344,3.5
3,345,2.0
3,346,2.5
3,347,4.0
3,348,3.5
4,49,4.5
4,351,5.0
4,352,3.5
4,356,3.5
4,357,4.5
4,360,2.5
4,361,4.5
4,363,2.5
4,5497,2.5
4,8397,2.5
4,8399,2.5
4,8400,3.5
5,128,5.0
5,233,4.0
5,340,4.5
5,419,5.0
5,421,4.0
5,425,2.5
5,426,1.5
5,428,5.0
5,429,5.0
5,433,2.5
5,437,4.0
6,201,5.0
6,294,4.0
6,329,5.0
6,901,4.0
6,1026,5.0
6,1953,5.0
6,2018,4.0
6,2181,5.0
6,6391,3.5
6,19028,5.0
6,24165,5.0
6,27887,5.0
6,33920,5.0
6,48895,5.0
6,60404,5.0
7,114,4.0
7,463,4.0
7,488,3.5
7,489,4.0
7,490,4.0
7,491,3.5
7,496,4.5
7,497,4.5
7,498,4.0
7,499,4.0
7,500,3.5
8,71,3.5
8,75,4.5
8,137,3.5
8,290,5.0
8,483,3.5
8,501,4.0
8,521,4.5
8,523,3.5
8,524,3.5
8,527,4.25
8,530,4.0
8,531,3.5
8,532,3.5
8,737,5.0
8,794,3.5
8,1359,4.0
8,2582,4.9
8,2820,4.0
8,4286,3.5
