"UID","BID","Score"
0,201,3.5
0,200,3.0
0,199,5.0
0,197,4.5
0,196,3.5
0,195,4.0
0,194,4.0
0,188,5.0
0,187,4.5
0,192,3.5
0,184,5.0
0,183,5.0
0,182,5.0
0,181,4.5
0,180,5.0
0,179,4.0
0,178,5.0
0,177,4.5
0,176,5.0
0,175,5.0
0,185,4.5
0,186,3.5
1,3729,3.0
1,15412,4.5
1,305,3.5
1,241,2.5
1,244,2.5
1,233,4.0
1,11454,4.5
1,240,2.5
1,217,3.0
1,3269,3.5
1,516,5.0
1,202,3.5
1,15411,3.0
1,227,3.0
1,4824,4.5
1,833,4.5
1,7541,3.5
1,210,5.0
2,15508,2.5
2,282,3.5
2,14782,3.0
2,6096,4.0
2,5431,4.5
2,15503,4.5
2,3839,4.5
2,3459,4.5
2,5432,4.5
2,2969,4.5
2,2104,4.5
2,6330,4.5
2,285,4.0
2,9255,4.0
2,15540,4.0
2,2809,4.5
2,2785,4.5
2,12764,4.0
2,485,3.5
2,15442,4.0
2,15527,3.5
2,15516,4.5
2,15424,4.5
2,15518,4.0
2,300,4.5
2,15538,4.0
2,15514,4.0
2,15416,4.5
2,4241,4.5
2,277,4.5
2,15474,3.5
2,15509,4.5
2,15539,3.5
2,9728,3.5
2,15512,2.5
2,9389,4.5
2,15543,2.5
2,15544,2.5
2,15545,3.0
2,11035,2.5
2,15562,2.5
2,15566,2.0
2,356,4.5
2,15541,3.5
2,15548,3.0
2,15496,4.0
2,15510,4.5
2,269,3.5
2,15530,4.5
2,274,4.5
2,15454,5.0
2,275,4.5
2,276,4.0
2,1175,5.0
2,15497,3.5
2,15534,4.0
2,15563,2.5
3,423,4.0
3,422,2.5
3,421,2.0
3,420,3.5
3,419,4.0
3,417,4.0
3,416,4.5
3,411,3.5
3,413,5.0
3,412,5.0
3,409,4.0
3,406,3.0
3,134,1.5
3,404,4.0
3,414,5.0
3,424,3.5
3,405,3.0
4,441,2.5
4,442,2.5
4,440,4.5
4,438,4.5
4,15391,2.5
4,9514,2.5
4,15397,3.5
4,15395,2.5
4,433,3.5
4,15392,3.5
4,427,5.0
4,434,4.5
5,529,5.0
5,535,2.5
5,533,4.5
5,530,5.0
5,539,4.0
5,526,1.5
5,519,4.0
5,520,5.0
5,518,4.0
5,514,5.0
5,524,2.5
6,11609,4.0
6,647,5.0
6,3234,5.0
6,242936,5.0
6,242937,5.0
6,242938,5.0
6,58365,5.0
6,78388,5.0
6,69492,5.0
6,5834,5.0
6,30063,4.0
6,18121,3.5
6,37973,4.0
6,10092,5.0
6,4177,5.0
7,616,4.0
7,614,4.5
7,615,4.0
7,605,4.0
7,607,4.0
7,618,3.5
7,606,4.0
7,617,4.0
7,608,3.5
7,613,4.5
7,604,3.5
8,15600,3.5
8,145,3.5
8,646,3.5
8,654,4.5
8,3929,5.0
8,3928,5.0
8,15571,5.0
8,15580,5.0
8,663,3.5
8,15590,5.0
8,619,4.0
8,15576,2.5
8,15599,4.0
8,15573,3.5
8,15606,3.5
8,15582,3.5
8,15592,4.0
8,7802,3.5
8,15570,5.0
8,15605,3.5
8,8355,3.5
8,3930,4.5
8,662,4.0
8,356,5.0
8,644,4.5
8,651,4.5
8,656,4.0
8,15607,4.0
8,15603,3.5
8,15572,4.5
8,15581,3.5
8,15601,3.5
8,657,4.5
