"UID","BID","Score"
0,102,1.5
0,96,4.0
0,98,3.5
0,97,4.0
0,101,5.0
1,118,5.0
1,117,4.5
1,116,4.0
1,115,4.0
1,114,4.5
1,113,4.5
2,201,3.5
2,195,4.0
2,194,4.0
2,187,4.5
2,192,3.5
2,179,4.0
2,175,5.0
3,3729,3.0
3,15412,4.5
3,305,3.5
3,244,2.5
3,233,4.0
3,11454,4.5
3,240,2.5
3,217,3.0
3,3269,3.5
3,516,5.0
3,202,3.5
3,227,3.0
3,4824,4.5
3,833,4.5
3,7541,3.5
3,210,5.0
4,250,3.0
4,244,3.0
4,248,4.5
4,249,4.0
4,246,4.5
4,245,4.0
4,202,3.5
4,247,4.0
5,282,3.5
5,14782,3.0
5,6096,4.0
5,5431,4.5
5,15503,4.5
5,3839,4.5
5,3459,4.5
5,5432,4.5
5,2969,4.5
5,2104,4.5
5,6330,4.5
5,285,4.0
5,9255,4.0
5,15540,4.0
5,2809,4.5
5,2785,4.5
5,12764,4.0
5,485,3.5
5,15442,4.0
5,15514,4.0
5,15416,4.5
5,4241,4.5
5,15509,4.5
5,15539,3.5
5,9728,3.5
5,15512,2.5
5,15545,3.0
5,11035,2.5
5,356,4.5
5,15496,4.0
5,15510,4.5
5,274,4.5
5,15454,5.0
5,276,4.0
5,1175,5.0
5,15534,4.0
6,422,2.5
6,411,3.5
6,413,5.0
6,412,5.0
6,134,1.5
6,404,4.0
6,414,5.0
6,424,3.5
6,405,3.0
7,535,2.5
7,530,5.0
7,526,1.5
7,519,4.0
7,520,5.0
7,518,4.0
8,11609,4.0
8,647,5.0
8,3234,5.0
8,58365,5.0
8,5834,5.0
8,37973,4.0
8,10092,5.0
8,4177,5.0
9,614,4.5
9,615,4.0
9,605,4.0
9,617,4.0
9,608,3.5
9,613,4.5
9,604,3.5
10,15600,3.5
10,145,3.5
10,646,3.5
10,654,4.5
10,3929,5.0
10,3928,5.0
10,15571,5.0
10,15580,5.0
10,663,3.5
10,15590,5.0
10,619,4.0
10,7802,3.5
10,15570,5.0
10,15605,3.5
10,8355,3.5
10,3930,4.5
10,662,4.0
10,356,5.0
10,651,4.5
10,656,4.0
10,15603,3.5
